osm_id,man_made,tower_type,telecom,communication_mobile_phone,name,geometry
5875525932,utility_pole,,distribution_point,,,POINT (120.9669707 14.2747542)
5429106298,utility_pole,,distribution_point,,,POINT (120.96575220000001 14.2747662)
5406721035,utility_pole,,distribution_point,,,POINT (120.96533550000001 14.2747845)
5875525924,utility_pole,,distribution_point,,,POINT (120.9672247 14.274827100000001)
563367842,,,,,,"LINESTRING (120.9675253 14.2729379, 120.9674441 14.2732271, 120.9673592 14.2735187, 120.967241 14.273883, 120.9671042 14.2743247, 120.9669707 14.2747542, 120.9668631 14.2751489, 120.9667861 14.275373, 120.9666631 14.2757658, 120.9665584 14.2760769, 120.966463 14.2763791, 120.9662982 14.2767599)"
5429106297,utility_pole,,distribution_point,,,POINT (120.96608440000001 14.274892500000002)
5875525921,utility_pole,,distribution_point,,,POINT (120.96755800000001 14.274923500000002)
5406721038,utility_pole,,distribution_point,,,POINT (120.96790560000001 14.2750011)
5429106296,utility_pole,,distribution_point,,,POINT (120.96648900000001 14.275018000000001)
5406721034,utility_pole,,distribution_point,,,POINT (120.96566080000001 14.275022700000001)
5378476567,utility_pole,,distribution_point,,,POINT (120.9658746 14.275095400000001)
5429106284,utility_pole,,distribution_point,,,POINT (120.96686310000001 14.275148900000001)
5378476556,utility_pole,,distribution_point,,,POINT (120.9662105 14.2752002)
5470126388,utility_pole,,distribution_point,,,POINT (120.9697038 14.274733300000001)
5875587861,utility_pole,,distribution_point,,,POINT (120.97054650000001 14.2747633)
5875568915,utility_pole,,distribution_point,,,POINT (120.97128710000001 14.274798400000002)
5875547192,utility_pole,,distribution_point,,,POINT (120.9690096 14.2748118)
621968854,,,,,,"LINESTRING (120.9689696 14.2739304, 120.9688384 14.2743032, 120.9687323 14.2746482, 120.9686213 14.2750054, 120.968518 14.2753394, 120.968478 14.2757307)"
5875568914,utility_pole,,distribution_point,,,POINT (120.97156840000001 14.274854900000001)
621969253,,,,,,"LINESTRING (120.9700451 14.2736826, 120.9698334 14.2738748, 120.9695948 14.2740974, 120.9694466 14.2744668, 120.9693139 14.2749068, 120.9691817 14.2753373, 120.9690773 14.2756784, 120.968973 14.2760519)"
5875547189,utility_pole,,distribution_point,,,POINT (120.9693139 14.2749068)
